Dataset,Subject,Model,Acc,Recall,Prec,F1,ITR
BNCI2014_009,1,LDA,0.8177083333333334,0.5729166666666666,0.46117560106082345,0.5096021498328636,9.448056723530826
BNCI2014_009,1,SVM,0.8611111111111112,0.23958333333333334,0.7752136752136751,0.3569205569205569,12.56035503708892
BNCI2014_009,1,EEGNet,0.8506944444444443,0.71875,0.5583613916947251,0.6193785288427369,11.757008238795205
BNCI2014_009,2,LDA,0.8402777777777778,0.65625,0.5180652680652681,0.578576723498888,10.990661769134222
BNCI2014_009,2,SVM,0.8854166666666666,0.3854166666666667,0.8396825396825397,0.5282146160962072,14.592367908588725
BNCI2014_009,2,EEGNet,0.8697916666666666,0.8125,0.5798192322582566,0.6748088597403665,13.25972210141763
BNCI2014_009,3,LDA,0.7239583333333334,0.34375,0.2559313699664577,0.2911358274351197,4.499967665930486
BNCI2014_009,3,SVM,0.8402777777777777,0.1875,0.5666666666666667,0.2816537467700258,10.99066176913421
BNCI2014_009,3,EEGNet,0.7899305555555557,0.53125,0.4061688311688312,0.4583267871170464,7.751536215813062
EPFLP300,1,LDA,0.7447665056360707,0.047619047619047616,0.06666666666666667,0.05555555555555555,5.415956139921567
EPFLP300,1,SVM,0.8322061191626409,0.0,0.0,0.0,10.421005662573426
EPFLP300,1,EEGNet,0.6789049919484702,0.2261904761904762,0.15484515484515485,0.17953216374269007,2.832952024796085
EPFLP300,2,LDA,0.8177133655394525,0.047619047619047616,0.16666666666666666,0.07407407407407407,9.44838361998075
EPFLP300,2,SVM,0.744122383252818,0.047619047619047616,0.037037037037037035,0.041666666666666664,5.386148843858171
EPFLP300,2,EEGNet,0.6708534621578099,0.17857142857142858,0.10833333333333334,0.1320450885668277,2.5784394830440727
